1,Farmacia Central,Madrid
2,Farmacia San Juan,Barcelona
3,Farmacia del Carmen,Valencia
4,Farmacia Victoria,Sevilla
5,Farmacia Moderna,Bilbao
6,Farmacia La Paz,Zaragoza
7,Farmacia Santa Ana,Málaga
8,Farmacia Los Remedios,Murcia
9,Farmacia El Salvador,Palma
10,Farmacia Begoña,Gijón
11,Farmacia Alameda,Granada
12,Farmacia Principal,Alicante
13,Farmacia Colón,Valladolid
14,Farmacia Nueva,Córdoba
15,Farmacia Real,Vigo
16,Farmacia Cruz Verde,Santander
17,Farmacia Europa,Pamplona
18,Farmacia San Martín,Logroño
19,Farmacia Universal,Toledo
20,Farmacia Avenida,Salamanca
21,Farmacia Monte,San Sebastián
22,Farmacia Plaza,Tarragona
23,Farmacia Salud,Badajoz
24,Farmacia Mediterránea,Castellón
25,Farmacia Norte,Oviedo
26,Farmacia del Pilar,Albacete
27,Farmacia Rosario,Huelva
28,Farmacia Guadalquivir,Cádiz
29,Farmacia Constitución,León
30,Farmacia Imperial,Burgos